발전소명,발전소 주소지,설치용량,설치각
남제주소내태양광,서귀포시 안덕면 화순해안로 106번길 55,196kW 모듈 :250W x 784 인버터 : 100kW x 2EA,설치각 : 30˚
무릉리 태양광(제주),서귀포시 대정읍 무릉리 1193-3 외 3필지,809.2kW 모듈 : 425W  x 1904 인버터 : 100kW x 8EA,설치각 : 20˚
부산 수처리 건물 태양광발전소,부산광역시 사하구 감천항로 7(감천동) 수처리실,"110.5kW 모듈 : 340Wⅹ325 인버터 : 100kW, 10.5kW",설치각 : 25˚ 입사각 : 23˚
"부산발전본부 1,400kW 태양광발전소",부산광역시 사하구 감천항로 7(감천동),"1,400.475kW 모듈 : 355Wⅹ3,945 인버터 : 500kWⅹ3EA",설치각 : 25˚
부산복합 2단계 태양광,부산광역시 사하구 감천항로 7(감천동),"501.84kW 모듈 : 340W x 1,476 인버터 : 600kW x 1EA",설치각 : 25˚
부산복합 자재창고 태양광발전소,부산광역시 사하구 감천항로 7(감천동),187kW 모듈 : 300Wⅹ624 인버터 : 100kW x 2EA,설치각 : 27˚
부산복합태양광,부산 사하구 감천항로 7,"390kW 모듈 :170W x 1,155 인버터 : 100kW x 3EA, 50kW x 2EA",설치각 : 21˚~45˚
부산신항태양광,부산 강서구 성북동 1490,"115kW 모듈 :144Wp x 272, 100Wp x 384, 215Wp x 176 인버터 : 20kW x 6EA",설치각 : 17˚
부산역 선상 주차장,부산광역시 동구 초량3동 1187-1 ,"834kW 모듈 : 400W x 2086, 인버터 : 500kW x 2EA",설치각 : 3˚~23˚
이천D(백사면B) 태양광,경기도 이천시 백사면 도립리 141-1,"995kW 모듈 : 440W x 2272, 인버터 : 500kW X 2EA",설치각 : 25˚
삼척 소내태양광#4,강원도 삼척시 원덕읍 삼척로 734,"2,599.2kW 모듈 : 380Wⅹ6,840 인버터 : 1250kW x 2EA",설치각 : 25˚
삼척사택 태양광,강원도 삼척시 원덕읍 삼척로 581-7 삼척그린파워사택,"241kW 모듈 : 250ⅹ964 인버터 : 36kWⅹ2, 41kWⅹ1, 46kWⅹ2, 51kWⅹ1",사택 지붕에 설치
삼척소내 태양광# 3,강원도 삼척시 원덕읍 삼척로 734,"2,002.32kW 모듈 : 360Wⅹ5,562 인버터 : 500kWⅹ1EA, 1500kW x 1EA",설치각 : 25˚
삼척소내태양광 #2,강원도 삼척시 원덕읍 삼척로 734,"990.45kW모듈 : 355Wⅹ2,790 인버터 : 500kWⅹ2EA ",설치각 : 25˚
삼척소내태양광#1,강원도 삼척시 원덕읍 삼척로 734,"999kW 모듈 : 360Wⅹ2,775 인버터 : 500kWⅹ2EA",설치각 : 25˚(지면경사 : 0˚) 입사각 : 23˚
송당리 태양광(제주),제주시 구좌읍 송당리 2455,"996.93kW 모듈 : 330W ⅹ 3,021 인버터 : 105kW ⅹ 10EA",설치각 : 24˚
"신인천 1,2단계주차장 태양광",인천광역시 서구 장도로 57 (청라동),296.1kW 모듈 : 450W x 658 인버터 : 100kW x 3EA,설치각 : 15˚
신인천 법사면 전망대 태양광 발전소,인천광역시 서구 장도로 57 (청라동),"1,742kW 모듈 :475W x 3,668 인버터 : 250kW x 7EA",설치각 : 20˚
신인천 북측부지 태양광,인천광역시 서구 장도로 57 (청라동),302.4kW 모듈 : 450W x 672 인버터 : 100kW x 3EA,설치각 : 18˚
신인천 본관옥상 태양광,인천광역시 서구 장도로 57 (청라동),63.0kW 모듈 : 450W x 140 인버터 : 100kW x 1EA,설치각 : 25˚
신인천 소내 태양광 발전소,인천광역시 서구 장도로 57 (청라동),200kW 모듈 : 250W x 800 인버터 : 210kW x 1EA,설치각 : 8~45˚
신인천 주차장 태양광 발전소,인천광역시 서구 장도로 57 (청라동),"605.55kW 모듈 : 390W X1,545 인버터 : 100kW x 6EA, 34kW x 1EA","설치각 : 25˚, 10˚~20˚"
신인천 해수취수구 태양광,인천광역시 서구 장도로 57 (청라동),"907.2kW 모듈 : 360W x 2,520 인버터 : 250kW x 4EA",설치각 : 23˚
신풍리 태양광(제주),서귀포시 성산읍 신풍리 1522,"990.72kW 모듈 : 360W x 2,520 인버터 : 250kW x 4EA",설치각 : 24˚
안동발전본부 2단계 태양광,경상북도 안동시 풍산읍 산업단지 1길 38,284.7kW 모듈 : 365W x 780 인버터 : 100kW x 3EA,설치각 : 21˚
안동발전본부 태양광발전소,경상북도 안동시 풍산읍 산업단지 1길 38,97.92kW모듈 : 340Wⅹ288 인버터 : 99.4kW,설치각 : 25˚
영월복합태양광,영월군 영월읍 중앙로 411,"76kW 모듈 :175W x 432 인버터 : 30.21kVA x 2EA, 20kVA x 1EA",설치각 : 26˚
영월철도부지 태양광,강원도 영월군 영월읍 중앙로 411 정양리 일원(585),"1,190.7kW 모듈 : 350Wⅹ3,402 인버터 : 600kWⅹ2EA",설치각 : 30˚(지면경사 : 0˚) 입사각 : 25˚
위미2리 제2태양광,제주특별자치도 서귀포시 남원읍 위미리 3696,"994.84kW 모듈 : 340W x 2,926 인버터 : 500kW x 2EA",설치각 : 25˚
인천수산정수장태양광,인천광역시 남동구 수산동 294-4,"998kW 모듈 :230W x 4,284 인버터 : 250kW x 4EA",설치각 : 23˚
제주 용수리 태양광,제주시 한경면 용수리 457 외 2,"888.93kW 모듈 : 415W x 2,142 인버터 : 105kW x 9EA",설치각 : 18˚
하동공설운동장태양광,하동군 적량면 고절리 1209-1,"369.85kW 모듈 :250W x 980, 144W x 867  인버터 : 250kW x 1EA, 100kW x 1EA, 30kW x 1EA",설치각 : 30˚
하동군보건소태양광,하동군 하동읍 읍내리 149-1,40kW 모듈 :250W x 220 인버터 : 40kW x 1EA,설치각 : 30˚
하동변전소태양광,하동군 적량면 동산리 867,48.3kW 모듈 :230W x 210 인버터 : 50kW x 1EA,설치각 : 30˚
하동정수장태양광,하동군 하동읍 두곡리 543,93.02kW 모듈 :144W x 646 인버터 : 100kW x 1EA,지붕에 설치
하동하수처리장태양광,하동군 하동읍 신기리 2-2,55kW 모듈 :250W x 160 인버터 : 55kW x 1EA,설치각 : 30˚
하동화력태양광 #1,하동군 금성면 가덕리 310,"998.4kW 모듈 :160W x 6,256 인버터 : 250kW x 5EA",설치각 : 32˚
하동화력태양광 #2,하동군 금성면 가덕리 310,"1900.8kW 모듈 :100/144/160/230W x 11,196 인버터 : 100kW x 47EA",설치각 : 32˚
하동화력태양광 #3,하동군 금성면 가덕리 310,"600.6kW 모듈 :220W x 2,730 인버터 : 100kW x 7EA",설치각 : 32˚
하동화력태양광 #4,"하동군 금남면 덕오길 173-176 금남면 대송리 482, 491, 492-2, 515, 527, 870, 산100","997.56kW모듈 : 340Wⅹ2,934 인버터 : 500kWⅹ2EA",설치각 : 30˚ 입사각 : 23˚
하동화력태양광 #5,"하동군 금남면 덕오길 173-176 금남면 대송리 482, 491, 492-2, 515, 527, 870, 산100","997.56W 모듈 : 340W x 2,934 인버터 : 500kW x 2EA",설치각 : 30˚
하동화력태양광 #6,"하동군 금성면 가덕리 1321,309",998.325kW 모듈 : 435W x 2295 인버터 : 500kW x 2EA,설치각 : 22˚
화촌주민참여형솔라팜 태양광,하동군 양보면 지례리 183-5 외 10필지,999.6kW 모듈 : 420W x 2380 인버터 : 100kW x 10EA,설치각 : 20˚
행원소수력태양광,제주시 구좌읍 행원리 571-2,6kW 모듈 :233W x 25 인버터 : 10kW x 1EA,설치각 : 30˚
