,경상대,남제주소내,부산복합자재창고,영월본부,인천수산정수장,하동보건소,신안
경상대,1.0,0.34793690585756526,0.42874022612353974,0.554730887960981,0.4368812804968414,0.5314110287084852,0.4906715782330512
남제주소내,0.34793690585756526,1.0,0.26942066329596254,0.27038979763679394,0.22191109694177422,0.45010511079032334,0.31831975893952713
부산복합자재창고,0.42874022612353974,0.26942066329596254,1.0,0.33411790106005224,0.3548738660457937,0.3695495020315713,0.3924109456570786
영월본부,0.554730887960981,0.27038979763679394,0.33411790106005224,1.0,0.4385097157294836,0.4696621387318627,0.38862430203355164
인천수산정수장,0.4368812804968414,0.22191109694177422,0.3548738660457937,0.4385097157294836,1.0,0.45114788059600913,0.3761040334772308
하동보건소,0.5314110287084852,0.45010511079032334,0.3695495020315713,0.4696621387318627,0.45114788059600913,1.0,0.4297427163889092
신안,0.4906715782330512,0.31831975893952713,0.3924109456570786,0.38862430203355164,0.3761040334772308,0.4297427163889092,1.0
