,경상대,남제주소내,부산복합자재창고,영월본부,인천수산정수장,하동보건소,신안
경상대,1.0,0.9069424292622001,0.9432780453458092,0.9338664941590477,0.9293869669129954,0.9513850398004313,0.9544145902731852
남제주소내,0.9069424292622001,1.0,0.9047170176117604,0.8734922140665757,0.8766141326343122,0.9149709204264538,0.9066617131943577
부산복합자재창고,0.9432780453458092,0.9047170176117604,1.0,0.9171079075290933,0.9085148792541621,0.9500105690806344,0.9436736686343992
영월본부,0.9338664941590477,0.8734922140665757,0.9171079075290933,1.0,0.9557535111607848,0.9203070397567581,0.9449800590298295
인천수산정수장,0.9293869669129954,0.8766141326343122,0.9085148792541621,0.9557535111607848,1.0,0.9175344926928388,0.9356584116114821
하동보건소,0.9513850398004313,0.9149709204264538,0.9500105690806344,0.9203070397567581,0.9175344926928388,1.0,0.9513478502937898
신안,0.9544145902731852,0.9066617131943577,0.9436736686343992,0.9449800590298295,0.9356584116114821,0.9513478502937898,1.0
