,경상대,남제주소내,부산복합자재창고,영월본부,인천수산정수장,하동보건소,신안
경상대,1.0,0.4785530695283231,0.6416421524818443,0.5732962484587169,0.46656379231207556,0.5975546518704146,0.6498100844419844
남제주소내,0.4785530695283231,1.0,0.4349666070802941,0.288691143812621,0.30536573342964285,0.45588353331584336,0.5184324809406705
부산복합자재창고,0.6416421524818443,0.4349666070802941,1.0,0.5294994714370999,0.4446976483506765,0.44092405043660177,0.5809883975839812
영월본부,0.5732962484587169,0.288691143812621,0.5294994714370999,1.0,0.6072879943720023,0.43445474237096166,0.5725069607753962
인천수산정수장,0.46656379231207556,0.30536573342964285,0.4446976483506765,0.6072879943720023,1.0,0.3566212513494308,0.5702729748921289
하동보건소,0.5975546518704146,0.45588353331584336,0.44092405043660177,0.43445474237096166,0.3566212513494308,1.0,0.5487561730106543
신안,0.6498100844419844,0.5184324809406705,0.5809883975839812,0.5725069607753962,0.5702729748921289,0.5487561730106543,1.0
