,경상대,광양항세방,구미,남동발전_본사사옥,영동,예천,남제주소내,부산복합자재창고,부산복합1단계,부산수처리장,부산신항,부산본부,삼척소내,신인천소내,신인천전망대,신인천해수취수구,영월본부,영월철도부지,위미2리,인천수산정수장,하동공설운동장,하동변전소,하동보건소,하동본부,하동정수장,하동하수처리장,광양항,당진,당진매립장_송악,당진자재창고,동해,수원환경사업소,황금물류센터,세종시폐기물매립장,연성정수장,영암에프원b,대구,신안
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sc
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sc,Sc,Sc,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sc,Sc,Sc,,,,Sc,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sc,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,Sc,Sc,Sc,,,,Sc,,,,,,,,,,,,,,,Sc,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sc,Sc,Sc,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sc,Sc,Sc,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,Sc,,,,,,,,,Sc,Sc,Sc,,,,Sc,,,,,,,,,,,,Sc,,,Sc,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,Sc,,,,,,,,,Sc,Sc,Sc,,,,Sc,,,,,,,,Sc,Sc,Sc,,Sc,,Sc,Sc,,,
76,,,,,Sc,,,,,,,,,Sc,Sc,Sc,,,,Sc,,,,,,,,Sc,Sc,Sc,,Sc,,Sc,Sc,,,
77,,,,,Sc,,,,,,,,,Sc,Sc,Sc,,,,Sc,,,,,,,,Sc,Sc,Sc,,Sc,,Sc,Sc,,,Sc
78,,,,,Sc,,,Ci,Ci,Ci,Ci,Ci,,Sc,Sc,Sc,,,,Sc,,,,,,,,Sc,Sc,Sc,,Sc,,Sc,Sc,,,Sc
79,,,,,Sc,,,Ci,Ci,Ci,Ci,Ci,,Sc,Sc,Sc,,,,Sc,,,,,,,,Sc,Sc,Sc,,Sc,,Sc,Sc,Sc,Sc,Sc
80,,,,,Sc,,,Ci,Ci,Ci,Ci,Ci,,,,,,,,,,,,,,,,Sc,Sc,Sc,,Sc,,Sc,,Sc,Sc,ScCi
81,,,,,,,,Ci,Ci,Ci,Ci,Ci,,,,,,,,,,,,,,,,Sc,Sc,Sc,,,,Sc,,Sc,Sc,Ci
82,,,,,,,,Ci,Ci,Ci,Ci,Ci,,,,,,,,,,,,,,,,Sc,Sc,Sc,,,,Sc,,Sc,Sc,Ci
83,,,,,,,,Ci,Ci,Ci,Ci,Ci,,,,,,,,,,,,,,,,Sc,Sc,Sc,,,,Sc,,Sc,Sc,Ci
84,,,,,,,,Ci,Ci,Ci,Ci,Ci,,,,,,,,,,,,,,,,ScCi,ScCi,ScCi,,,,Ci,,Sc,,Ci
85,,,,,,,,Ci,Ci,Ci,Ci,Ci,,,,,,,,,,,,,,,,Ci,Ci,Ci,,,,ScCi,,ScCi,Ci,Sc
86,,,,,,,,Ci,Ci,Ci,Ci,Ci,,,,,,,,,,,,,,,,,,,,,,ScCi,,Sc,Ci,Ci
87,,,,,,,,Ci,Ci,Ci,Ci,Ci,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,,,Ci,Ci,Sc,Ci,ScCi
88,,,,,Ci,,,Ci,Ci,Ci,Ci,Ci,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,Ci,,Ci,Ci,ScCi,Ci,Ci
89,,,,,Ci,,,Ci,Ci,Ci,Ci,Ci,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,Ci,,Ci,Ci,ScCi,Ci,Ci
90,,,,,Ci,,,Ci,Ci,Ci,Ci,Ci,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,Ci,,Ci,Ci,Sc,Ci,Ci
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,Ci,Ci,Ci,Ci,Ci,,Ci,Ci,Ci,,,,Ci,,,,,,,,,,,,,,,Ci,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,Ci,Ci,Ci,Ci,Ci,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,,,Ci,Ci,Ci,Ci,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,Ci,,,Ci,Ci,Ci,Ci,Ci,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,Ci,,Ci,Ci,Ac,,Ci
100,,,,,Ci,,,Ci,Ci,Ci,Ci,Ci,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,Ci,,Ci,Ci,Ac,,Ci
101,,,,,Ci,,,Ci,Ci,Ci,Ci,Ci,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,Ci,,Ci,Ci,Ac,Ci,Ac
102,,,,,Ci,,,Ci,Ci,Ci,Ci,Ci,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,Ci,,Ci,Ci,Ac,Ci,Ci
103,,,,,Ci,,,Ci,Ci,Ci,Ci,Ci,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,Ci,,Ci,Ci,Ac,Ci,Ci
104,,,,,Ci,,,ScCi,ScCi,ScCi,ScCi,ScCi,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,Ci,,Ci,Ci,As,Ci,Ci
105,,,,,Ci,,,Sc,Sc,Sc,Sc,Sc,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,Ci,,Ci,Ci,Ac,ScCi,As
106,,,,,Ci,,,Sc,Sc,Sc,Sc,Sc,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,Ci,,Ci,Ci,Ac,Sc,As
107,,,,,Ci,,,ScCi,ScCi,ScCi,ScCi,ScCi,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,Ci,,Ci,Ci,As,Sc,As
108,,,,,Ci,,,ScCi,ScCi,ScCi,ScCi,ScCi,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,Ci,,Ci,Ci,Ac,Sc,As
109,,,,,Ci,,,Sc,Sc,Sc,Sc,Sc,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,Ci,,Ci,Ci,Ac,ScAs,As
110,,,,,Ci,,,Sc,Sc,Sc,Sc,Sc,,Ci,Ci,Ci,,,,Ci,,,,,,,,Ci,Ci,Ci,,Ci,,Ci,Ci,As,ScAs,As
111,,,,,Ci,,,ScAs,ScAs,ScAs,ScAs,ScAs,,Ci,Ci,Ci,,,,Ci,,,,,,,,As,As,As,,Ci,,As,Ci,Ac,ScAs,As
112,,,,,Ci,,,StNs,StNs,StNs,StNs,StNs,,Ci,Ci,Ci,,,,Ci,,,,,,,,As,As,As,,Ci,,ScAs,Ci,Ac,ScAs,As
113,,,,,Ci,,,ScAs,ScAs,ScAs,ScAs,ScAs,,Ci,Ci,Ci,,,,Ci,,,,,,,,As,As,As,,Ci,,ScAs,Ci,Ac,ScAs,As
114,,,,,Ci,,,StNs,StNs,StNs,StNs,StNs,,Ci,Ci,Ci,,,,Ci,,,,,,,,ScAs,ScAs,ScAs,,Ci,,ScAs,Ci,ScAs,Sc,ScAs
115,,,,,,,,ScAs,ScAs,ScAs,ScAs,ScAs,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,StNs,StNs,StNs,StNs,StNs,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,AcCi,,,StNs,StNs,StNs,StNs,StNs,,AcCi,AcCi,AcCi,,,,AcCi,,,,,,,,ScAc,ScAc,ScAc,,AcCi,,ScAc,AcCi,StNs,Sc,StNs
118,,,,,,,,StNs,StNs,StNs,StNs,StNs,,,,,,,,,,,,,,,,,,,,,,,,StNs,,StNs
119,,,,,,,,StNs,StNs,StNs,StNs,StNs,,,,,,,,,,,,,,,,,,,,,,,,StNs,,StNs
120,,,,,AcCi,,,ScAs,ScAs,ScAs,ScAs,ScAs,,Ac,Ac,Ac,,,,Ac,,,,,,,,Ac,Ac,Ac,,AcCi,,Ac,Ac,StNs,Sc,StNs
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StNs,,StNs
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StNs,,StNs
123,,,,,Ac,,,ScAs,ScAs,ScAs,ScAs,ScAs,,ScAc,ScAc,ScAc,,,,ScAc,,,,,,,,ScAc,ScAc,ScAc,,Ac,,Sc,ScAc,StNs,Sc,StNs
124,,,,,ScAc,,,ScAs,ScAs,ScAs,ScAs,ScAs,,ScAc,ScAc,ScAc,,,,ScAc,,,,,,,,Ac,Ac,Ac,,ScAc,,ScAc,ScAc,StNs,Sc,ScAs
125,,,,,ScAc,,,ScAc,ScAc,ScAc,ScAc,ScAc,,Sc,Sc,Sc,,,,Sc,,,,,,,,Ac,Ac,Ac,,ScAc,,Ac,Sc,StNs,Sc,ScAs
126,,,,,Sc,,,Sc,Sc,Sc,Sc,Sc,,Sc,Sc,Sc,,,,Sc,,,,,,,,Ac,Ac,Ac,,Sc,,Ac,Sc,ScAs,Sc,As
