怕剧堡疙,龋扁,斥岿老,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
措备,0,2017-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,40.0,60.0,60.0,60.0,50.0,30.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,40.0,60.0,60.0,60.0,50.0,30.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,40.0,70.0,60.0,60.0,50.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,50.0,60.0,70.0,60.0,50.0,40.0,10.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,50.0,60.0,60.0,50.0,50.0,30.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,40.0,60.0,60.0,50.0,40.0,20.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,30.0,10.0,6.8,10.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,50.0,60.0,70.0,60.0,50.0,40.0,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,20.0,50.0,70.0,50.0,30.0,30.0,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,40.0,20.0,20.0,20.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,70.0,70.0,60.0,50.0,40.0,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,50.0,70.0,60.0,70.0,50.0,40.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,50.0,70.0,70.0,60.0,60.0,30.0,17.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,50.0,60.0,70.0,70.0,50.0,40.0,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,30.0,50.0,60.0,60.0,60.0,50.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,60.0,70.0,60.0,50.0,40.0,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,50.0,60.0,70.0,60.0,50.0,30.0,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,50.0,40.0,40.0,50.0,40.0,30.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,60.0,60.0,60.0,30.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,50.0,70.0,70.0,70.0,60.0,40.0,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,40.0,60.0,50.0,70.0,60.0,30.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,50.0,70.0,70.0,60.0,40.0,20.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,60.0,70.0,70.0,60.0,60.0,40.0,20.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,40.0,40.0,40.0,30.0,20.0,10.0,20.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,60.0,80.0,70.0,70.0,60.0,50.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,60.0,70.0,70.0,70.0,60.0,50.0,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,40.0,50.0,70.0,80.0,60.0,60.0,38.0,19.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,50.0,70.0,60.0,70.0,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,70.0,70.0,70.0,60.0,40.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,30.0,60.0,40.0,40.0,30.0,20.0,10.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,43.6,70.0,50.0,60.0,40.0,20.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,60.0,70.0,70.0,70.0,60.0,50.0,20.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,50.0,70.0,80.0,70.0,60.0,40.0,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,30.0,40.0,50.0,50.0,50.0,40.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,40.0,60.0,80.0,80.0,70.0,70.0,50.0,30.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0
