,경상대,예천,남제주소내,부산복합자재창고,영월본부,인천수산정수장,하동보건소,신안
경상대,,0.5182810577205297,0.49237487893085385,0.6141403909628477,0.5992213935950883,0.5423057361012626,0.5950320848092309,0.6191943404221955
예천,0.5182810577205297,,0.39010045067256355,0.4755205864993376,0.5573258186960924,0.482885827488322,0.4728783631755621,0.48422464137610893
남제주소내,0.49237487893085385,0.39010045067256355,,0.4973466081145138,0.4343823538778029,0.43353999841412855,0.4875353454352051,0.5088741512971529
부산복합자재창고,0.6141403909628477,0.4755205864993376,0.4973466081145138,,0.5421241411830302,0.5417831536728123,0.5279431311418848,0.5682422644373255
영월본부,0.5992213935950883,0.5573258186960924,0.4343823538778029,0.5421241411830302,,0.6164288392120036,0.49193372652367745,0.5876073063885501
인천수산정수장,0.5423057361012626,0.482885827488322,0.43353999841412855,0.5417831536728123,0.6164288392120036,,0.4763783689816661,0.5715074599077782
하동보건소,0.5950320848092309,0.4728783631755621,0.4875353454352051,0.5279431311418848,0.49193372652367745,0.4763783689816661,,0.5453574395874546
신안,0.6191943404221955,0.48422464137610893,0.5088741512971529,0.5682422644373255,0.5876073063885501,0.5715074599077782,0.5453574395874546,
