,경상대,광양항세방,구미,남동발전_본사사옥,영동,예천,남제주소내,부산복합자재창고,부산복합1단계,부산수처리장,부산신항,부산본부,삼척소내,신인천소내,신인천전망대,신인천해수취수구,영월본부,영월철도부지,위미2리,인천수산정수장,하동공설운동장,하동변전소,하동보건소,하동본부,하동정수장,하동하수처리장,광양항,당진,당진매립장_송악,당진자재창고,동해,수원환경사업소,황금물류센터,세종시폐기물매립장,연성정수장,영암에프원b,대구,신안
54,,,,,4019.0,,,40.0,40.0,40.0,40.0,40.0,,4019.0,4019.0,4019.0,,,,4019.0,,,,,,,,19.0,19.0,19.0,,4019.0,,19.0,4019.0,19.0,40.0,19.0
55,,,,,19.0,,,40.0,40.0,40.0,40.0,40.0,,4019.0,4019.0,4019.0,,,,4019.0,,,,,,,,19.0,19.0,19.0,,19.0,,19.0,4019.0,19.0,40.0,19.0
56,,,,,19.0,,,40.0,40.0,40.0,40.0,40.0,,4019.0,4019.0,4019.0,,,,4019.0,,,,,,,,19.0,19.0,19.0,,19.0,,19.0,4019.0,19.0,40.0,19.0
57,,,,,19.0,,,40.0,40.0,40.0,40.0,40.0,,4019.0,4019.0,4019.0,,,,4019.0,,,,,,,,19.0,19.0,19.0,,19.0,,19.0,4019.0,19.0,40.0,19.0
58,,,,,19.0,,,40.0,40.0,40.0,40.0,40.0,,40.0,40.0,40.0,,,,40.0,,,,,,,,19.0,19.0,19.0,,19.0,,19.0,40.0,19.0,40.0,4019.0
59,,,,,4019.0,,,40.0,40.0,40.0,40.0,40.0,,40.0,40.0,40.0,,,,40.0,,,,,,,,,,,,4019.0,,19.0,40.0,19.0,40.0,40.0
60,,,,,40.0,,,40.0,40.0,40.0,40.0,40.0,,40.0,40.0,40.0,,,,40.0,,,,,,,,,,,,40.0,,4019.0,40.0,4019.0,40.0,40.0
61,,,,,40.0,,,,,,,,,40.0,40.0,40.0,,,,40.0,,,,,,,,,,,,40.0,,40.0,40.0,40.0,,40.0
62,,,,,40.0,,,,,,,,,40.0,40.0,40.0,,,,40.0,,,,,,,,,,,,40.0,,40.0,40.0,40.0,,
63,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,40.0,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,19.0,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,19.0,19.0,,,,40.0,,19.0,,
68,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,19.0,19.0,19.0,,19.0,,40.0,,19.0,,40.0
69,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,19.0,19.0,19.0,,19.0,,40.0,,19.0,,4019.0
70,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,4019.0,,19.0,,19.0
71,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,19.0,19.0,19.0,,19.0,,19.0,,19.0,,19.0
72,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,19.0,19.0,19.0,,19.0,,19.0,,19.0,,19.0
73,,,,,19.0,,,,,,,,,19.0,19.0,19.0,,,,19.0,,,,,,,,19.0,19.0,19.0,,19.0,,19.0,19.0,19.0,,19.0
74,,,,,19.0,,,,,,,,,19.0,19.0,19.0,,,,19.0,,,,,,,,19.0,19.0,19.0,,19.0,,19.0,19.0,19.0,,19.0
75,,,,,19.0,,,,,,,,,19.0,19.0,19.0,,,,19.0,,,,,,,,19.0,19.0,19.0,,19.0,,19.0,19.0,19.0,,19.0
76,,,,,19.0,,,,,,,,,19.0,19.0,19.0,,,,19.0,,,,,,,,19.0,19.0,19.0,,19.0,,19.0,19.0,19.0,,19.0
77,,,,,19.0,,,,,,,,,19.0,19.0,19.0,,,,19.0,,,,,,,,19.0,19.0,19.0,,19.0,,19.0,19.0,19.0,,19.0
78,,,,,19.0,,,,,,,,,19.0,19.0,19.0,,,,19.0,,,,,,,,19.0,19.0,19.0,,19.0,,19.0,19.0,19.0,19.0,19.0
79,,,,,19.0,,,,,,,,,19.0,19.0,19.0,,,,19.0,,,,,,,,19.0,19.0,19.0,,19.0,,19.0,19.0,19.0,19.0,19.0
80,,,,,19.0,,,,,,,,,19.0,19.0,19.0,,,,19.0,,,,,,,,19.0,19.0,19.0,,19.0,,19.0,19.0,19.0,19.0,19.0
81,,,,,19.0,,,,,,,,,19.0,19.0,19.0,,,,19.0,,,,,,,,19.0,19.0,19.0,,19.0,,19.0,19.0,19.0,40.0,19.0
82,,,,,19.0,,,40.0,40.0,40.0,40.0,40.0,,19.0,19.0,19.0,,,,19.0,,,,,,,,19.0,19.0,19.0,,19.0,,19.0,19.0,19.0,40.0,19.0
83,,,,,19.0,,,40.0,40.0,40.0,40.0,40.0,,19.0,19.0,19.0,,,,19.0,,,,,,,,19.0,19.0,19.0,,19.0,,19.0,19.0,19.0,40.0,19.0
84,,,,,4019.0,,,40.0,40.0,40.0,40.0,40.0,,4019.0,4019.0,4019.0,,,,4019.0,,,,,,,,19.0,19.0,19.0,,4019.0,,19.0,4019.0,19.0,40.0,4019.0
85,,,,,40.0,,,40.0,40.0,40.0,40.0,40.0,,40.0,40.0,40.0,,,,40.0,,,,,,,,19.0,19.0,19.0,,40.0,,4019.0,40.0,19.0,40.0,40.0
86,,,,,40.0,,,40.0,40.0,40.0,40.0,40.0,,40.0,40.0,40.0,,,,40.0,,,,,,,,,,,,40.0,,40.0,40.0,19.0,40.0,40.0
87,,,,,40.0,,,40.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,40.0,,40.0,,19.0,40.0,40.0
88,,,,,40.0,,,40.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,40.0,,40.0,,19.0,40.0,40.0
89,,,,,,,,40.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,40.0,,19.0,,40.0
90,,,,,40.0,,,40.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,40.0,,40.0,,19.0,40.0,40.0
91,,,,,40.0,,,40.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,40.0,,40.0,,19.0,40.0,40.0
92,,,,,40.0,,,40.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,40.0,,40.0,,19.0,40.0,40.0
93,,,,,40.0,,,40.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,40.0,,40.0,,19.0,40.0,40.0
94,,,,,4019.0,,,40.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,4019.0,,,,19.0,40.0,40.0
95,,,,,19.0,,,40.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,19.0,,,,19.0,40.0,4019.0
96,,,,,19.0,,,40.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,19.0,,40.0,,19.0,4019.0,19.0
97,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,40.0,,19.0,19.0,19.0
98,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,40.0,,19.0,19.0,19.0
99,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,19.0,19.0,19.0
100,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,19.0,19.0,19.0
101,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,19.0,19.0,19.0
102,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,19.0,,19.0,19.0,19.0
103,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,19.0,,40.0,19.0,19.0
104,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,19.0,,40.0,19.0,19.0
105,,,,,19.0,,,,,,,,,40.0,40.0,40.0,,,,40.0,,,,,,,,,,,,19.0,,19.0,40.0,40.0,19.0,19.0
106,,,,,19.0,,,,,,,,,40.0,40.0,40.0,,,,40.0,,,,,,,,,,,,19.0,,19.0,40.0,40.0,19.0,19.0
107,,,,,,,,,,,,,,40.0,40.0,40.0,,,,40.0,,,,,,,,,,,,,,19.0,40.0,40.0,19.0,19.0
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4019.0,,40.0,4019.0,4019.0
109,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,40.0,,40.0,40.0,40.0
110,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,40.0,40.0,40.0
111,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,40.0,,40.0
112,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,40.0,,40.0
113,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,4019.0,,
114,,,,,,,,1901.0,1901.0,1901.0,1901.0,1901.0,,,,,,,,,,,,,,,,,,,,,,,,19.0,,
115,,,,,,,,1901.0,1901.0,1901.0,1901.0,1901.0,,,,,,,,,,,,,,,,,,,,,,,,19.0,,
116,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,19.0,,
117,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
118,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
119,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1901.0,,1.0
120,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1901.0,,1.0
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1901.0,,1.0
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1901.0,,1.0
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,
140,,,,,4019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4019.0,,,,,,
141,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,
142,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,
143,,,,,19.0,,,,,,,,,40.0,40.0,40.0,,,,40.0,,,,,,,,,,,,19.0,,,40.0,,19.0,
144,,,,,19.0,,,,,,,,,40.0,40.0,40.0,,,,40.0,,,,,,,,,,,,19.0,,,40.0,,19.0,
145,,,,,19.0,,,,,,,,,40.0,40.0,40.0,,,,40.0,,,,,,,,19.0,19.0,19.0,,19.0,,,40.0,19.0,19.0,
146,,,,,19.0,,,,,,,,,19.0,19.0,19.0,,,,19.0,,,,,,,,19.0,19.0,19.0,,19.0,,,19.0,19.0,19.0,
147,,,,,19.0,,,,,,,,,19.0,19.0,19.0,,,,19.0,,,,,,,,19.0,19.0,19.0,,19.0,,,19.0,19.0,19.0,
148,,,,,19.0,,,,,,,,,19.0,19.0,19.0,,,,19.0,,,,,,,,19.0,19.0,19.0,,19.0,,,19.0,19.0,19.0,
149,,,,,19.0,,,,,,,,,19.0,19.0,19.0,,,,19.0,,,,,,,,19.0,19.0,19.0,,19.0,,,19.0,,19.0,
150,,,,,19.0,,,,,,,,,19.0,19.0,19.0,,,,19.0,,,,,,,,19.0,19.0,19.0,,19.0,,,19.0,,19.0,
