,경상대,남제주소내,부산복합자재창고,영월본부,인천수산정수장,하동보건소,신안
경상대,1.0,0.7675268031788107,0.8849430254299232,0.7568980115586296,0.7447536118769335,0.9180793018042986,0.8531749051435076
남제주소내,0.7675268031788107,1.0,0.7570860263558973,0.6283297617114074,0.6468881995255626,0.7784586017281466,0.7422241965747618
부산복합자재창고,0.8849430254299232,0.7570860263558973,1.0,0.7274130805813793,0.718511998464908,0.8632982433577352,0.8004086293023398
영월본부,0.7568980115586296,0.6283297617114074,0.7274130805813793,1.0,0.7998166167334838,0.7426939297953588,0.7531829679425033
인천수산정수장,0.7447536118769335,0.6468881995255626,0.718511998464908,0.7998166167334838,1.0,0.7339727263790202,0.7462556791602264
하동보건소,0.9180793018042986,0.7784586017281466,0.8632982433577352,0.7426939297953588,0.7339727263790202,1.0,0.8686480061095033
신안,0.8531749051435076,0.7422241965747618,0.8004086293023398,0.7531829679425033,0.7462556791602264,0.8686480061095033,1.0
