,경상대,남제주소내,부산복합자재창고,영월본부,인천수산정수장,하동보건소,신안
경상대,1.0,0.46910691647516284,0.5575856798054522,0.5818546785843628,0.47983625930650836,0.4150345517231128,0.6106912402111891
남제주소내,0.46910691647516284,1.0,0.4859532789183009,0.472041772950665,0.4309471605211964,0.28525037516433616,0.5152754982288956
부산복합자재창고,0.5575856798054522,0.4859532789183009,1.0,0.5238440669068937,0.50865997220575,0.3580201961292599,0.5974193681388562
영월본부,0.5818546785843628,0.472041772950665,0.5238440669068937,1.0,0.49707461443700773,0.34073626333303536,0.5665790981071848
인천수산정수장,0.47983625930650836,0.4309471605211964,0.50865997220575,0.49707461443700773,1.0,0.3248557569102833,0.5700807290677684
하동보건소,0.4150345517231128,0.28525037516433616,0.3580201961292599,0.34073626333303536,0.3248557569102833,1.0,0.3996536632495559
신안,0.6106912402111891,0.5152754982288956,0.5974193681388562,0.5665790981071848,0.5700807290677684,0.3996536632495559,1.0
