,경상대,남제주소내,부산복합자재창고,영월본부,인천수산정수장,하동보건소,신안
경상대,1.0,0.5804383232397258,0.7023269131008699,0.7696298758122173,0.6258718463696231,0.7451085331949281,0.8052165076193492
남제주소내,0.5804383232397258,1.0,0.6827604804177092,0.4191163119479267,0.46835837840725003,0.6189099614359767,0.5750098326275198
부산복합자재창고,0.7023269131008699,0.6827604804177092,1.0,0.5384042484931518,0.5567933954621848,0.7337092038950319,0.660026000526046
영월본부,0.7696298758122173,0.4191163119479267,0.5384042484931518,1.0,0.6264709169920922,0.6171951856365934,0.7441529471346047
인천수산정수장,0.6258718463696231,0.46835837840725003,0.5567933954621848,0.6264709169920922,1.0,0.599171181040281,0.6485285012640774
하동보건소,0.7451085331949281,0.6189099614359767,0.7337092038950319,0.6171951856365934,0.599171181040281,1.0,0.7941429904269579
신안,0.8052165076193492,0.5750098326275198,0.660026000526046,0.7441529471346047,0.6485285012640774,0.7941429904269579,1.0
