,경상대,남제주소내,부산복합자재창고,영월본부,인천수산정수장,하동보건소,신안
경상대,1.0,0.0985467159849576,0.2019270083893437,0.1764226392924425,0.2492351964807781,0.19272195160206554,0.097056817251501
남제주소내,0.0985467159849576,1.0,0.1928477320231141,-0.0021263290707049577,0.1372455406166895,0.12210835416125937,0.06395184091237435
부산복합자재창고,0.2019270083893437,0.1928477320231141,1.0,0.10982346214300355,0.24346915631613056,0.16182434864744052,0.00205746625895222
영월본부,0.1764226392924425,-0.0021263290707049577,0.10982346214300355,1.0,0.39358068382843175,0.013669450722416304,0.1317819671432594
인천수산정수장,0.2492351964807781,0.1372455406166895,0.24346915631613056,0.39358068382843175,1.0,0.14370147894468568,0.09457035947069026
하동보건소,0.19272195160206554,0.12210835416125937,0.16182434864744052,0.013669450722416304,0.14370147894468568,1.0,0.05491998326695371
신안,0.097056817251501,0.06395184091237435,0.00205746625895222,0.1317819671432594,0.09457035947069026,0.05491998326695371,1.0
