,경상대,남제주소내,부산복합자재창고,영월본부,인천수산정수장,하동보건소,신안
경상대,1.0,0.9380619926666489,0.9538589567380334,0.9640488378818116,0.930902163786175,0.9629878426742553,0.9693131047318261
남제주소내,0.9380619926666489,1.0,0.9644759934858967,0.9226986561044619,0.9484107616328593,0.9485714285971397,0.9555897921315072
부산복합자재창고,0.9538589567380334,0.9644759934858967,1.0,0.9428910907300442,0.9514520375705536,0.9628919679685384,0.9603962957381681
영월본부,0.9640488378818116,0.9226986561044619,0.9428910907300442,1.0,0.9491755303644451,0.9503208314920055,0.9678377475630786
인천수산정수장,0.930902163786175,0.9484107616328593,0.9514520375705536,0.9491755303644451,1.0,0.9460223591137337,0.9664707597935761
하동보건소,0.9629878426742553,0.9485714285971397,0.9628919679685384,0.9503208314920055,0.9460223591137337,1.0,0.9699893435302211
신안,0.9693131047318261,0.9555897921315072,0.9603962957381681,0.9678377475630786,0.9664707597935761,0.9699893435302211,1.0
